timestamp,latitude,longitude,ghi,dni,dhi,solar_irradiance
2024-01-15T06:00:00Z,19.0760,72.8777,120.0,85.0,65.0,120.0
2024-01-15T07:00:00Z,19.0760,72.8777,280.0,420.0,120.0,280.0
2024-01-15T08:00:00Z,19.0760,72.8777,450.0,680.0,180.0,450.0
2024-01-15T09:00:00Z,19.0760,72.8777,620.0,850.0,220.0,620.0
2024-01-15T10:00:00Z,19.0760,72.8777,780.0,920.0,260.0,780.0
2024-01-15T11:00:00Z,19.0760,72.8777,890.0,950.0,280.0,890.0
2024-01-15T12:00:00Z,19.0760,72.8777,950.0,960.0,290.0,950.0
2024-01-15T13:00:00Z,19.0760,72.8777,920.0,940.0,285.0,920.0
2024-01-15T14:00:00Z,19.0760,72.8777,850.0,900.0,270.0,850.0
2024-01-15T15:00:00Z,19.0760,72.8777,720.0,820.0,240.0,720.0
2024-01-15T16:00:00Z,19.0760,72.8777,550.0,680.0,200.0,550.0
2024-01-15T17:00:00Z,19.0760,72.8777,350.0,480.0,150.0,350.0
2024-01-15T18:00:00Z,19.0760,72.8777,150.0,200.0,80.0,150.0
2024-01-16T06:00:00Z,19.0760,72.8777,130.0,90.0,70.0,130.0
2024-01-16T07:00:00Z,19.0760,72.8777,290.0,430.0,125.0,290.0
2024-01-16T08:00:00Z,19.0760,72.8777,460.0,690.0,185.0,460.0
2024-01-16T09:00:00Z,19.0760,72.8777,640.0,860.0,225.0,640.0
2024-01-16T10:00:00Z,19.0760,72.8777,800.0,930.0,265.0,800.0
2024-01-16T11:00:00Z,19.0760,72.8777,910.0,955.0,285.0,910.0
2024-01-16T12:00:00Z,19.0760,72.8777,970.0,965.0,295.0,970.0
2024-01-16T13:00:00Z,19.0760,72.8777,940.0,945.0,290.0,940.0
2024-01-16T14:00:00Z,19.0760,72.8777,870.0,910.0,275.0,870.0
2024-01-16T15:00:00Z,19.0760,72.8777,740.0,830.0,245.0,740.0
2024-01-16T16:00:00Z,19.0760,72.8777,570.0,690.0,205.0,570.0
2024-01-16T17:00:00Z,19.0760,72.8777,370.0,490.0,155.0,370.0
2024-01-16T18:00:00Z,19.0760,72.8777,160.0,210.0,85.0,160.0
